Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand
Jelena Blagojević,Serbia,301,1,75,181,294,271,12/1/1988,1956.9,6,280,78,
Enrica Merlo,Italy,302,5,60,170,281,262,12/28/1988,1955.7,7,264,67,
Takako Shirai,Japan,303,1,72,180,,,7/18/1952,1950.9,12,0,38,
Gina Altagracia Mambrú,Dominican Republic,304,2,55,180,312,302,1/21/1986,1949.5,9,101,77,
Iuliia Morozova,Russia,305,3,78,192,303,301,1/8/1985,1943.5,8,93,64,
Yamila Nizetich,Argentina,306,1,79,182,298,285,1/27/1989,1941.45,10,306,88,Right
Hande Baladın,Turkey,307,1,81,189,310,300,9/1/1997,1937.55,3,419,76,Right
Maja Aleksić,Serbia,308,3,72,188,302,290,6/6/1997,1932.45,13,184,61,
Milagros Cabral,Dominican Republic,309,1,63,182,325,320,10/17/1978,1926.2,6,37,81,
Aysun Özbek Ayhan,Turkey,310,3,73,185,,,3/18/1977,1926.1,2,87,55,
Kumi Nakada,Japan,311,4,,176,,,9/3/1965,1922.8,7,198,111,
Elles Leferink,Netherlands,312,1,,178,291,279,11/14/1976,1922.7,10,0,50,Left
Jennifer Janiska,Germany,313,1,58,186,298,288,4/5/1994,1914.15,12,200,75,
TeTori Dixon,USA,314,3,83,191,306,295,8/4/1992,1913.23,8,213,58,
Raquel Peluci da Silva,Brazil,315,1,72,191,300,282,4/30/1978,1909.18,5,32,61,
Elitsa Vasileva-Atanasijević,Bulgaria,316,1,73,190,302,290,5/13/1990,1905.25,4,344,94,
Alexandra Pasynkova,Russia,317,1,75,190,313,305,4/14/1987,1905.05,2,103,75,Right
Arzu Göllü,Turkey,318,4,,173,,,1/1/1969,1902.75,3,97,48,
Yulia Merkulova,Russia,319,3,87,202,320,308,2/17/1984,1901.45,3,32,71,Right
Vesna Čitaković - Đurišić,Serbia,320,3,75,187,305,300,2/3/1979,1900.15,4,232,87,
Izabela Bełcik,Poland,321,4,70,186,310,295,11/29/1980,1896,2,48,84,
Olga Potachova,Russia,322,1,,204,,,6/26/1976,1895.75,5,2,71,
Ergül Avcı,Turkey,323,3,80,190,310,300,7/24/1987,1895.1,4,526,72,
Svetlana Korytova,Russia,324,2,,185,,,3/24/1968,1893.2,0,3,38,
Hanka Pachale,Germany,325,1,74,190,316,299,9/12/1976,1892.94,3,39,66,
Nina Nikolaevna Smoleeva,Russia,326,3,72,175,,,3/28/1948,1887.5,1,0,30,Right
Leila Barros,Brazil,327,2,71,179,300,291,9/30/1971,1884.5,4,9,69,Left
Ariane Radfan,Germany,328,3,,184,,,4/5/1965,1882.85,2,0,53,
Sarina Nishida,Japan,329,1,68,180,307,290,5/21/1996,1878.05,13,263,59,Right
Sun-Hye Chung,South Korea,330,1,65,174,306,290,12/17/1975,1877.2,9,0,58,
Tijana Malešević,Serbia,331,1,64,185,310,301,3/18/1991,1868.11,1,197,86,
Nicole Davis,USA,332,5,73,167,284,266,4/24/1982,1865.6,5,45,61,
Éva Sebők-Szalay,Hungary,333,1,,183,,,3/26/1949,1865.2,,,,
Paulina Maj-Erwardt,Poland,334,5,58,166,300,277,3/22/1987,1864.95,5,190,83,
Mara Leão,Brazil,335,3,81,190,310,297,7/26/1991,1862.9,4,318,69,
Katarzyna Skorupa,Poland,336,4,72,183,302,296,9/16/1984,1858.8,,,,Right
Xian Zhang,China,337,5,57,168,290,280,3/16/1985,1855.9,12,77,53,
Megumi Kurihara,Japan,338,1,69,187,308,295,7/31/1984,1848.95,8,98,68,
Ana Tiemi Takagui,Brazil,339,4,73,188,295,284,10/26/1987,1845.55,1,327,86,
Virginie De Carne,Belgium,340,2,76,192,320,300,5/25/1977,1844.78,11,5,70,Left
Song-Yi Han,South Korea,341,3,65,186,305,298,9/5/1984,1843.95,6,220,81,
Bahar Mert Üçoklar,Turkey,342,4,71,180,290,286,12/13/1975,1843.35,2,38,57,
Lucia Bánhegyi-Radó,Hungary,343,,,172,,,4/22/1948,1843.25,0,0,65,
Olga Fateeva,Russia,344,1,72,190,310,303,4/5/1984,1825.5,2,30,72,Right
Hye-Mi Kang,South Korea,345,4,61,173,300,285,4/27/1974,1824.8,9,2,58,
Ayça Aykaç,Turkey,346,5,57,176,275,260,2/27/1996,1821.85,3,431,58,Right
Mina Popović,Serbia,347,3,73,187,315,305,9/17/1994,1821.25,8,219,69,
Aleksandra Jagieło,Poland,348,1,80,180,306,295,6/2/1980,1820.83,,,,
Myung-Ok Yim,South Korea,349,5,65,176,278,266,3/15/1986,1820,15,219,51,
Kseniia Parubets,Russia,350,1,74,184,315,305,10/31/1994,1819.92,21,309,68,Right
Pornpun Guedpard,Thailand,351,4,66,173,290,285,5/5/1993,1818.65,9,312,110,Right
Helena Havelková,Czech Republic,352,1,70,188,320,308,7/25/1988,1814.2,6,229,74,
Debby Stam-Pilon,Netherlands,353,,66,184,303,281,7/24/1984,1813.8,6,76,75,
Yana Shcherban,Russia,354,1,67,187,298,294,9/6/1989,1809.65,2,350,71,Right
Michelle Pavão,Brazil,355,1,68,178,295,283,10/30/1986,1808.75,0,312,86,
Madelaynne Montaño,Colombia,356,2,70,188,338,310,1/6/1983,1807.25,13,144,48,
Liana Mesa,Cuba,357,5,73,184,318,307,12/26/1977,1806.26,4,37,63,
Yumi Maruyama,Japan,358,3,,175,,,11/30/1957,1804.3,11,3,42,
Christina Bauer,France,359,3,88,196,323,308,1/1/1988,1801.38,5,329,78,
Kathleen Weiß,Germany,360,4,66,171,298,292,2/2/1984,1800.83,5,106,89,
Natalia Málaga,Peru,361,1,60,170,303,290,1/26/1964,1799.75,5,127,84,Right
Isabel Salgado,Brazil,362,1,71,180,,,8/2/1960,1798.2,2,14,65,
Samantha Bricio,Mexico,363,1,58,188,302,283,11/22/1994,1792.85,16,301,60,Right
Ulrike Schmidt,Germany,364,,,179,,,3/30/1969,1791,14,73,69,
Charlotte Leys,Belgium,365,1,78,184,305,293,3/18/1989,1789.12,11,253,78,
Cosiri Rodríguez,Dominican Republic,366,2,72,191,313,305,8/30/1977,1788.9,7,3,67,
Juan Li,China,367,1,73,187,317,305,5/15/1981,1788.8,4,9,52,
Gyöngyi Bardi-Gerevich,Hungary,368,1,,174,,,2/2/1958,1788.7,0,0,66,
Asako Tajimi,Japan,369,3,68,180,308,,6/26/1972,1786.05,5,229,99,
Deniz Hakyemez,Turkey,370,1,72,188,300,295,2/3/1983,1784.72,0,217,67,
Ayşe Gökçen Denkel,Turkey,371,3,79,193,305,300,8/2/1985,1784.3,1,302,56,
Yunli Xu,China,372,3,75,195,325,306,8/2/1987,1784.2,5,46,59,
Elena Plotnikova-Zarubina,Russia,373,2,70,185,290,280,7/6/1978,1783.35,2,18,60,
Janina Chagas,Brazil,374,3,82,192,,,10/25/1972,1783,3,6,53,
Chiaka Ogbogu,USA,375,3,73,188,318,307,4/15/1995,1779.7,9,250,51,Right
Vera Mossa,Brazil,376,1,62,183,,,1/27/1964,1779.4,2,4,55,
Lyudmila Chernysheva,Russia,377,1,,172,,,11/1/1952,1777,2,0,35,
Denise Souza,Brazil,378,1,77,183,292,276,9/2/1967,1775.53,2,16,51,
Lilian Izquierdo,Cuba,379,4,,173,,,2/20/1967,1774.85,1,0,33,
Nana Iwasaka,Japan,380,3,76,187,298,293,7/3/1990,1767.9,4,193,72,Right
Ni Yan,China,381,3,74,193,317,306,3/2/1987,1765.8,9,126,37,
Agnieszka Korneluk,Poland,382,3,88,200,328,295,10/17/1994,1765.4,14,244,71,
Vanessa Palacios,Peru,383,5,60,170,275,260,6/3/1984,1764,15,148,82,
Laura Dijkema,Netherlands,384,4,70,184,310,298,2/18/1990,1763.58,4,258,92,
Ruirui Zhao,China,385,3,95,197,326,315,10/8/1981,1763.4,0,0,,
Ivana Djerisilo,Serbia,386,1,72,185,315,300,8/8/1983,1762.7,4,94,76,
Aslı Kalaç,Turkey,387,3,73,185,308,301,12/13/1995,1762.45,4,393,66,
Cristina Barcellini,Italy,388,1,75,185,,,11/20/1986,1762.4,1,142,64,
Candida Arias,Dominican Republic,389,3,68,194,320,315,3/11/1992,1762.15,6,5,73,
