Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand,Added by
Santiago Danani,Argentina,274,5,76,176,318,300,1995-12-12,2124.75,16,191,39,,marciovolley
Lukas Diviš,Slovakia,275,1,91,201,348,340,1986-02-20,2123.1,4,410,83,,Volleybox
Frantz Granvorka,France,276,2,90,195,364,327,1976-03-10,2122.75,3,465,81,,Volleybox
Michał Bąkiewicz,Poland,277,1,89,197,339,328,1981-03-22,2121.65,0,204,86,,Volleybox
Karch Kiraly,USA,278,1,93,188,,,1960-11-03,2113,9,425,110,,Volleybox
Tae-Woong Choi,South Korea,279,4,80,185,315,302,1976-04-09,2110.85,10,326,97,,przemek16
João José,Portugal,280,3,87,195,352,345,1978-06-07,2105.58,7,160,82,,Volleybox
Pāvels Seļivanovs,Latvia,281,1,97,194,,,1952-07-23,2101.5,0,95,54,,Gerdy Geleyn
Zbigniew Bartman,Poland,282,2,91,198,363,330,1987-05-04,2100.2,9,349,76,,Volleybox
Gilberto Passani,Italy,283,3,,195,,,1961-04-23,2096.04,0,23,59,,John Doe
Ihosvany Hernández,Cuba,284,3,103,206,350,340,1972-08-06,2093.34,3,16,53,,Volleybox
Yuri Sapega,Russia,285,3,85,194,,,1965-01-01,2091.2,0,89,68,,John Doe
Alain Fabiani,France,286,4,80,186,,,1958-09-14,2086.2,2,198,52,,Volleybox
Michał Łasko,Italy,287,2,98,202,348,337,1981-03-10,2085.32,3,220,70,2,Volleybox
Lucas Lóh,Brazil,288,1,83,195,336,320,1991-01-18,2082.65,1,365,71,1,Volleybox
Ahmed Salah,Egypt,289,2,87,197,342,316,1984-08-19,2081.9,9,59,83,2,Volleybox
Matteo Piano,Italy,290,3,102,208,352,325,1990-10-23,2079.21,8,407,55,,Volleybox
Salvador Hidalgo Oliva,Cuba,291,1,98,195,355,332,1985-12-27,2068.1,17,333,60,1,
José Luis Moltó,Spain,292,3,94,206,352,,1975-06-29,2065.87,5,182,83,,Volleybox
Vladimir Dorokhov,Russia,293,1,,194,,,1954-02-18,2055.25,0,6,49,,John Doe
Richard Lambourne,USA,294,5,90,190,324,312,1975-05-06,2051.6,4,63,62,,Volleybox
Jungo Morita,Japan,295,3,85,194,,,1947-08-09,2050.75,18,20,56,,John Doe
Andrzej Stelmach,Poland,296,4,97,200,336,318,1972-08-15,2047.05,0,167,89,,Volleybox
Pierre Pujol,France,297,4,90,186,335,315,1984-07-13,2045.4,2,674,94,,Volleybox
Björn Andrae,Germany,298,1,90,200,355,330,1981-05-14,2042.75,3,326,98,,Volleybox
Fred Winters,Canada,299,1,98,195,357,329,1982-09-25,2042.6,0,253,85,,Volleybox
Richard Schuil,Netherlands,300,2,95,202,347,329,1973-05-02,2041.85,5,24,103,,Volleybox
Paul Duerden,Canada,301,2,100,195,358,320,1974-10-22,2039.25,6,295,54,,Volleybox
Alen Pajenk,Slovenia,302,3,92,203,357,342,1986-04-23,2037.1,4,395,90,,Volleybox
Nuri Şahin,Turkey,303,5,91,197,330,325,1980-01-01,2036.69,5,223,80,,Volleybox
Yu Koshikawa,Japan,304,1,87,189,340,320,1984-06-30,2035.6,15,151,78,,Volleybox
Mikko Esko,Finland,305,4,89,198,341,319,1978-09-03,2033.6,7,403,110,1,Volleybox
Nicolas Maréchal,France,306,1,83,198,338,327,1987-03-04,2033.15,4,584,75,,Volleybox
Flávio Gualberto,Brazil,307,3,92,200,356,345,1993-04-22,2029.6,12,281,59,1,mvs
Salvatore Rossini,Italy,308,5,82,185,312,301,1986-07-13,2027.7,4,492,59,,Volleybox
Kamil Semeniuk,Poland,308,1,85,194,352,326,1996-07-16,2027.7,7,391,47,1,makoretu
Laurent Chambertin,France,309,4,92,191,337,322,1966-09-29,2026.55,0,471,80,,Volleybox
Nicolás Bruno,Argentina,310,1,86,188,340,320,1989-02-24,2025.1,7,274,76,,Volleybox
Bob Ctvrtlik,USA,311,1,89,193,,,1963-07-08,2023.8,7,0,28,,Volleybox
Roman Danilov,Russia,312,2,90,208,356,325,1985-01-04,2015.55,6,359,65,1,Volleybox
Nikola Rosić,Serbia,313,5,85,192,328,315,1984-08-05,2014.95,4,111,73,,Volleybox
Christian Pampel,Germany,314,2,100,202,340,320,1979-09-06,2012.21,4,209,105,1,Volleybox
Egor Kliuka,Russia,315,1,94,209,370,350,1995-06-15,2011.15,7,343,50,,soidensir3
Vladimir Shkurikhin,Russia,316,2,103,201,,,1958-07-26,2010.4,1,0,43,,soidensir3
Mitja Gasparini,Slovenia,317,2,94,201,347,332,1984-06-26,2010.16,8,415,78,,Volleybox
Sam Deroo,Belgium,318,1,101,203,360,340,1992-04-29,2009.75,5,483,75,,Volleybox
Sándor Kántor,Hungary,319,1,,196,,,1971-02-01,2009.55,10,158,96,,bpeter0228
Simone Anzani,Italy,320,3,100,203,350,330,1992-02-24,2009.26,3,429,63,1,Volleybox
Ho-Chul Kim,South Korea,321,4,68,175,,,1955-02-05,2008.4,8,265,141,2,franzvinci01
Aleksandr Korneev,Russia,322,1,96,200,348,339,1980-09-11,2008.15,1,118,55,1,Volleybox
Boyan Yordanov,Bulgaria,323,2,86,197,358,335,1983-03-12,2004.74,9,439,96,2,Volleybox
Pedro Rangel,Mexico,324,4,85,192,340,324,1988-09-16,2002.8,15,199,75,,soidensir3
Andrej Kravárik,Slovakia,325,2,97,204,360,350,1971-07-28,1993.85,8,492,119,,Volleybox
Ventzislav Simeonov,Italy,326,2,103,200,356,318,1977-02-03,1993.35,5,235,60,,Volleybox
Łukasz Wiśniewski,Poland,327,3,104,198,343,320,1989-02-03,1983.85,5,407,70,1,Volleybox
Marlon Muraguti,Brazil,328,4,82,188,310,289,1977-07-27,1982.3,2,338,75,,Volleybox
Daniele Sottile,Italy,329,4,73,186,332,310,1979-08-17,1976.4,0,540,73,,Volleybox
Dražen Luburić,Serbia,330,2,106,205,360,331,1993-11-02,1971.99,12,287,62,1,przemek16
Oreol Camejo,Cuba,331,1,94,207,373,350,1986-07-22,1967.35,7,331,69,1,Volleybox
Hendrik Jan Held,Netherlands,332,3,93,201,,,1967-11-12,1964.75,0,242,95,,Volleybox
Selçuk Keskin,Turkey,333,4,93,193,335,325,1982-01-15,1960.89,5,265,81,,Volleybox
Viljar Loor,Estonia,334,3,96,196,,,1953-10-01,1958.8,0,12,36,,John Doe
Giórgos Stefánou,Greece,335,5,82,187,305,295,1981-01-12,1954.79,7,578,103,,Charálampos Andreópoulos
Alen Šket,Slovenia,336,1,92,205,350,320,1988-03-28,1947.65,4,312,90,,Volleybox
Theo Lopes,Brazil,337,2,100,200,345,324,1983-08-31,1942.3,5,254,70,,
Lukas Kampa,Germany,338,4,90,196,335,320,1986-11-29,1937.55,4,395,84,1,Volleybox
Kawika Shoji,USA,339,4,79,190,331,315,1987-11-11,1934.8,5,270,59,,Volleybox
Thomas Hoff,USA,340,3,,203,,,1973-06-09,1934.25,5,199,54,,Volleybox
Ivan Yakovlev,Russia,341,3,86,207,363,350,1995-04-17,1933.25,13,344,42,1,Volleybox
Raúl Diago,Cuba,342,4,90,192,,,1967-08-01,1933.2,6,1,26,,Volleybox
Thomas Jaeschke,USA,343,1,84,200,348,330,1993-09-04,1928.5,18,343,46,,Wilfredo_is_Marshall
Ali Peçen,Turkey,344,5,,192,,,1969-01-30,1928.34,1,18,62,,przemek16
Nikólaos Smaragdís,Greece,345,3,89,202,328,318,1982-02-12,1926.8,2,573,109,,Volleybox
Lucas De Deus,Brazil,346,5,80,183,301,282,1987-01-26,1920.3,5,264,74,,mvs
Nikolay Uchikov,Bulgaria,347,2,100,207,355,330,1986-04-13,1919.35,9,293,79,,Volleybox
Nuno Pinheiro,Portugal,348,4,89,193,337,325,1984-12-31,1917.8,4,516,83,,Volleybox
Hee-Wan Lee,South Korea,349,4,,187,,,1956-01-15,1917.75,10,97,108,,slintyen
Stephen Boyer,France,350,2,90,196,355,334,1996-04-10,1917.7,10,390,64,,Volleybox
Graham Vigrass,Canada,351,3,97,205,354,330,1989-06-17,1916.1,15,294,66,1,soidensir3
David Konečný,Czech Republic,352,2,94,193,351,330,1982-10-10,1914,6,400,65,,Volleybox
Max Günthör,Germany,353,3,93,207,350,325,1985-08-09,1906.7,6,90,57,,Volleybox
Οsniel Melgarejo,Cuba,354,1,94,198,363,346,1997-12-18,1905.15,15,188,49,1,Lefos95
Renan Buiatti,Brazil,355,2,110,217,360,345,1990-01-10,1903.1,5,339,57,2,Volleybox
Aleksey Samoylenko,Russia,356,3,106,210,356,342,1985-06-23,1902.5,4,433,57,,Volleybox
Pablo Crer,Argentina,357,3,78,205,350,330,1989-06-12,1897.65,6,206,74,,Volleybox
Patryk Czarnowski,Poland,358,3,98,202,365,334,1985-01-11,1897.1,3,304,61,,Volleybox
Takeshi Nagano,Japan,359,5,65,176,315,300,1985-07-11,1895,11,290,75,,soidensir3
