Name,Added by,Awards,Block,Points,Classificação do jogador,Adicionado por,Wzrost,Matches,Wyświetlenia,Pozycja,Spike,Player ranking,Zasięg w ataku,Nacionalidade,Visualizações,Data urodzenia,Posição,Ranking in 2023,Nationality,Ranking,Position,Ranking siatkarza,Waga,Last activity,Birthdate,Height,Dominant hand,Narodowość,Altura,Ranking trenera,Zasięg w bloku,Dodano przez,Data de nascimento,Views,Peso,Tournaments,Ranking w 2023,Weight,Ręka,Coach ranking,Classificação de treinador
Piotr Gruszka,Volleybox,4,325,2726.30,,,,311,,,354,161,,,,,,,Poland,,Outside Hitter,,,,1977-03-08,206,,,,,,,,9299,,103,,105,,1450,
Osvaldo Hernández,Volleybox,10,,2708.90,,,,252,,,,,,,,,,,Cuba,162,Opposite,,,,1970-07-11,202,,,,,,,,7504,,53,,91,,,
João Paulo Bravo,Volleybox,4,320,2704.25,,,,441,,,340,163,,,,,,,Brazil,,Outside Hitter,,,,1979-01-07,193,,,,,,,,12629,,98,,87,,2547,
Davide Bellini,soidensir3,0,,2691.70,,,,59,,,,,,,,,,,Italy,164,Setter,,,,1969-05-20,197,,,,,,,,4639,,74,,,,,
Fabian Drzyzga,Volleybox,8,325,2691.60,,,,359,,,343,,,,,,,326,Poland,165,Setter,,,,1990-01-03,196,,,,,,,,22284,,95,,95,,,
Filipe Ferraz,,,,2685.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Vujević,Volleybox,5,315,2685.05,,,,431,,,335,167,,,,,,,Montenegro,,Outside Hitter,,,,1973-02-27,192,,,,,,,,11214,,86,,94,,,
Andrey Ashchev,Volleybox,4,338,2676.90,,,,312,,,350,,,,,,,,Russia,168,Middle-blocker,,,,1983-05-10,202,,,,,,,,9088,,73,,105,,,
Renan Dal Zotto,Volleybox,3,,2666.55,,,,352,,,,169,,,,,,,Brazil,,Outside Hitter,,,,1960-07-19,190,,,,,,,,12990,,131,,,,111,
William Priddy,Volleybox,4,330,2655.45,,,,186,,,353,,,,,,,,USA,170,Outside Hitter,,,,1977-10-01,194,,,,,,,,15150,,79,,89,,,
Vladimir Grbić,Volleybox,2,310,2647.84,,,,63,,,330,,,,,,,,Serbia,171,Outside Hitter,,,,1970-12-14,193,,,,,,,,16156,,72,,87,,,
Jiří Kovář,Volleybox,5,330,2646.54,,,,621,,,353,,,,,,,82,Italy,172,Outside Hitter,,,,1989-04-10,202,,,,,,,,20836,,73,,95,,,
Antônio Carlos Gouveia,Volleybox,1,,2644.20,,,,10,,,,,,,,,,,Brazil,173,Middle-blocker,,,,1965-04-20,198,,,,,,,,6849,,62,,,,,
Rodrigo Leão,mvs,6,316,2638.00,,,,352,,,331,,,,,,,71,Brazil,174,Outside Hitter,,,,1996-06-05,199,,,,,,,,12820,,80,,83,,,
Emre Batur,Volleybox,11,330,2612.69,,,,280,,,340,,,,,,,382,Turkey,175,Middle-blocker,,,,1988-04-21,202,,,,,,,,11813,,76,,94,,,
Thiago Alves,Volleybox,9,308,2606.25,,,,217,,,330,,,,,,,549,Brazil,176,Outside Hitter,,,,1986-07-26,194,,,,,,,,11128,,70,,88,,,
Igor Shulepov,Volleybox,3,310,2605.85,,,,271,,,340,177,,,,,,,Russia,,Outside Hitter,,,,1972-11-16,203,,,,,,,,5118,,102,,99,,1028,
Todor Aleksiev,Volleybox,6,340,2605.00,,,,329,,,355,178,,,,,,314,Bulgaria,,Outside Hitter,,,,1983-04-21,204,,,,,,,,21295,,108,,105,,,
Ernardo Gómez,,14,350,2591.99,,,,265,,,355,,,,,,,,Venezuela,179,Opposite,,,4 months ago,1982-07-30,195,,,,,,,,23343,,86,,90,,,
Fernando Kreling,mvs,7,302,2584.25,,,,341,,,320,,,,,,,,Brazil,180,Setter,,,,1996-01-13,185,,,,,,,,19066,,74,,85,,,
Pablo Meana,,14,,2581.05,,,,76,,,,181,,,,,,,Argentina,,Libero,,,5 minutes ago,1975-06-10,187,,,,,,,,14552,,59,,86,,3172,
Kóstas Christofidélis,Volleybox,6,338,2578.90,,,,633,,,358,182,,,,,,,Greece,,Outside Hitter,,,,1977-06-26,195,,,,,,,,5811,,119,,96,,2846,
Dragan Travica,Volleybox,4,320,2576.20,,,,544,,,335,,,,,,,12,Italy,183,Setter,,,,1986-08-28,200,,,,,,,,24126,,81,,94,,,
Dawid Konarski,Volleybox,13,335,2570.15,,,,339,,,350,,,,,,,188,Poland,184,Opposite,,,,1989-08-31,198,Right,,,,,,,16089,,73,,101,,,
Antonin Rouzier,Volleybox,9,330,2564.45,,,,550,,,350,,,,,,,336,France,185,Opposite,,,,1986-08-18,201,Right,,,,,,,26961,,78,,100,,,
Marcus Böhme,Volleybox,9,330,2564.15,,,,356,,,360,,,,,,,164,Germany,186,Middle-blocker,,,,1985-08-25,211,,,,,,,,20241,,99,,116,,,
Fabio Balaso,Volleybox,14,290,2558.30,,,,378,,,310,,,,,,,143,Italy,187,Libero,,,,1995-10-20,178,,,,,,,,20577,,57,,79,,,
Ferdinando De Giorgi,Volleybox,1,,2528.45,,,,625,,,,188,,,,,,,Italy,,Setter,,,,1961-10-10,178,,,,,,,,15655,,143,,,,59,
Evgeniy Mitkov,marciovolley,3,341,2528.35,,,,441,,,352,189,,,,,,,Russia,,Libero,,,,1972-03-23,194,,,,,,,,2789,,112,,89,,499,
Anderson Rodrigues,Volleybox,5,321,2513.50,,,,347,,,330,190,,,,,,,Brazil,,Opposite,,,,1974-05-21,190,,,,,,,,8694,,92,,95,,674,
Mitar Djuric,Volleybox,15,340,2509.15,,,,642,,,365,,,,,,,262,Greece,191,Middle-blocker,,,,1989-04-25,211,Right,,,,,,,28187,,96,,115,,,
Tine Urnaut,Volleybox,3,345,2505.05,,,,555,,,365,,,,,,,407,Slovenia,192,Outside Hitter,,,,1988-09-03,199,Right,,,,,,,39120,,97,,87,,,
Andrea Bari,Volleybox,5,310,2498.45,,,,387,,,327,,,,,,,,Italy,193,Libero,,,,1980-03-05,185,,,,,,,,6774,,67,,81,,,
Dmitriy Ilinykh,Volleybox,4,330,2494.30,,,,513,,,338,194,,,,,,,Russia,,Outside Hitter,,,,1987-01-31,201,,,,,,,,16567,,88,,92,,,
Burutay Subaşı,Volleybox,12,330,2491.65,,,,332,,,340,,,,,,,20,Turkey,195,Outside Hitter,,,,1990-07-15,194,,,,,,,,17167,,85,,99,,,
Gilmar Teixeira,Volleybox,5,,2485.10,,,,59,,,,,,,,,,,Brazil,196,Opposite,,,,1970-10-30,198,,,,,,,,5614,,63,,93,,,
Jan Posthuma,Volleybox,9,,2476.25,,,,10,,,,,,,,,,,Netherlands,197,Middle-blocker,,,,1963-06-11,209,,,,,,,,4912,,46,,96,,,
Dmitriy Volkov,soidensir3,16,338,2473.15,,,,343,,,351,,,,,,,,Russia,198,Outside Hitter,,,,1995-05-25,202,Right,,,,,,,29373,,52,,88,,,
Martin Ramos,,8,328,2468.94,,,,191,,,348,,,,,,,449,Argentina,199,Middle-blocker,,,7 months ago,1991-08-26,197,Right,,,,,,,24595,,80,,95,,,
Jin-Sik Shin,przemek16,17,335,2462.00,,,,207,,,337,200,,,,,,,South Korea,,Outside Hitter,,,,1975-02-01,188,,,,,,,,6028,,90,,80,,1106,
Dmitriy Shcherbinin,soidensir3,7,335,2460.20,,,,512,,,350,,,,,,,,Russia,201,Middle-blocker,,,,1989-09-10,205,Right,,,,,,,8202,,77,,95,,,
Nicolás Uriarte,Volleybox,8,326,2451.60,,,,436,,,346,,,,,,,71,Argentina,202,Setter,,,,1990-03-21,192,,,,,,,,19864,,83,,82,,,
Vladislav Babichev,Volleybox,0,320,2449.20,,,,302,,,328,203,,,,,,,Russia,,Libero,,,,1981-02-18,185,,,,,,,,4901,,68,,72,,5044,
Otávio Pinto,Volleybox,11,327,2444.55,,,,346,,,350,,,,,,,71,Brazil,204,Middle-blocker,,,,1991-02-27,202,,,,,,,,13048,,77,,97,,,
Hugo Conte,Volleybox,6,,2437.25,,,,50,,,,205,,,,,,,Argentina,,Outside Hitter,,,,1963-04-14,197,,,,,,,,10513,,73,,90,,3144,
Douglas Chiarotti,Volleybox,4,,2436.55,,,,72,,,,206,,,,,,,Brazil,,Middle-blocker,,,,1970-11-10,201,,,,,,,,4428,,79,,105,,1298,
Ilya Savelyev,soidensir3,7,,2436.00,,,,58,,,,,,,,,,,Russia,207,Outside Hitter,,,,1971-06-10,202,,,,,,,,4381,,62,,90,,,
Guido Görtzen,Volleybox,6,331,2430.95,,,,115,,,345,208,,,,,,,Netherlands,,Opposite,,,,1970-11-09,202,,,,,,,,7772,,76,,90,,3140,
Angel Dennis,,8,335,2419.09,,,,338,,,358,,,,,,,522,Cuba,209,Opposite,,,3 months ago,1977-06-13,194,Left,,,,,,,23146,,74,,89,,,
Evgeny Krasilnikov,Volleybox,3,,2410.90,,,,2,,,,,,,,,,,Russia,210,Setter,,,,1965-04-07,191,,,,,,,,2601,,73,,,,,
Igor Omrčen,Volleybox,12,330,2404.95,,,,365,,,375,,,,,,,,Croatia,211,Opposite,,,,1980-09-26,208,,,,,,,,13891,,80,,106,,,
Mário Júnior,Volleybox,8,321,2401.25,,,,183,,,330,,,,,,,,Brazil,212,Libero,,,,1982-05-03,192,,,,,,,,7868,,62,,91,,,
Yury Panchenko,Volleybox,0,,2400.50,,,,167,,,,213,,,,,,,Russia,,Opposite,,,,1959-02-05,198,,,,,,,,5299,,101,,,,297,
Se-Jin Kim,Volleybox,15,,2398.80,,,,131,,,,214,,,,,,,South Korea,,Opposite,,,,1974-01-30,197,Left,,,,,,,5387,,71,,83,,1680,
Simone Parodi,Volleybox,7,335,2394.00,,,,645,,,350,,,,,,,439,Italy,215,Outside Hitter,,,,1986-06-16,196,,,,,,,,14915,,71,,82,,,
Saeid Marouflakrani,przemek16,12,311,2393.60,,,,174,,,331,,,,,,,57,Iran,216,Setter,,,,1985-10-09,189,Right,,,,,,,45753,,67,,81,,,
Jan Štokr,Volleybox,8,341,2380.81,,,,364,,,368,217,,,,,,,Czech Republic,,Opposite,,,,1983-01-16,205,,,,,,,,14620,,76,,110,,,
Kunihiro Shimizu,Volleybox,14,335,2370.40,,,,325,,,345,,,,,,,,Japan,218,Opposite,,,,1986-08-11,193,Left,,,,,,,19470,,77,,97,,,
Aleksandr Bogomolov,Volleybox,1,332,2365.85,,,,271,,,341,219,,,,,,,Russia,,Middle-blocker,,,,1976-02-01,208,,,,,,,,6265,,77,,95,,1726,
Alexandre Samuel,przemek16,3,,2359.40,,,,0,,,,,,,,,,,Brazil,220,Outside Hitter,,,,1970-03-20,197,,,,,,,,9562,,58,,86,,,
Aléxis Valido,marciovolley,10,312,2347.55,,,,137,,,325,,,,,,,,Spain,221,Libero,,,,1976-03-09,188,,,,,,,,2628,,89,,85,,,
Mateusz Bieniek,przemek16,9,330,2345.50,,,,348,,,365,,,,,,,28,Poland,222,Middle-blocker,,,,1994-04-05,208,,,,,,,,27129,,66,,105,,,
Liberman Agamez,Volleybox,16,357,2333.05,,,,376,,,365,,,,,,,362,Colombia,223,Opposite,,,,1985-02-15,207,Right,,,,,,,37486,,68,,100,,,
Douglas Souza,Volleybox,7,319,2331.40,,,,306,,,345,,,,,,,126,Brazil,224,Outside Hitter,,,,1995-08-20,199,,,,,,,,21162,,64,,75,,,
Francesco Dall'Olio,franzvinci01,0,,2322.95,,,,128,,,,225,,,,,,,Italy,,Setter,,,,1953-12-30,186,,,,,,,,2022,,103,,,,381,
Valentin Golubev,soidensir3,4,305,2318.55,,,,403,,,310,,,,,,,,Russia,226,Libero,,,,1992-05-03,190,,,,,,,,9972,,66,,70,,,
Denis Kaliberda,Volleybox,5,314,2316.55,,,,368,,,343,,,,,,,232,Germany,227,Outside Hitter,,,,1990-06-24,193,Right,,,,,,,26554,,87,,95,,,
Markus Steuerwald,przemek16,9,328,2309.75,,,,450,,,340,228,,,,,,,Germany,,Libero,,,,1989-03-07,182,,,,,,,,10160,,83,,85,,4582,
Dawid Murek,Volleybox,7,315,2309.20,,,,308,,,337,229,,,,,,,Poland,,Outside Hitter,,,,1977-07-21,196,,,,,,,,10094,,85,,100,,4022,
Valery Losev,John Doe,0,,2308.80,,,,27,,,,230,,,,,,,Kyrgyzstan,,Setter,,,,1956-02-28,199,Left,,,,,,,1957,,96,,89,,242,
Vladimir Kondra,slintyen,1,,2305.60,,,,153,,,,231,,,,,,,Russia,,Outside Hitter,,,,1950-11-16,185,,,,,,,,1510,,114,,,,60,
Viktor Yosifov,Volleybox,10,340,2290.24,,,,440,,,350,,,,,,,314,Bulgaria,232,Middle-blocker,,,,1985-10-16,204,,,,,,,,12717,,72,,100,,,
Aleksandr Gerasimov,soidensir3,3,341,2274.35,,,,349,,,352,233,,,,,,,Russia,,Opposite,,,,1975-01-22,201,,,,,,,,4435,,93,,92,,1257,
Matej Černič,,,,2273.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislav Dineykin,Volleybox,4,342,2273.50,,,,200,,,353,235,,,,,,,Russia,,Opposite,,,,1973-10-10,215,Right,,,,,,,8157,,73,,101,,1873,
Lukáš Ticháček,Volleybox,6,324,2270.65,,,,387,,,328,,,,,,,321,Czech Republic,236,Setter,,,,1982-01-12,193,,,,,,,,11824,,88,,84,,,
Viktor Poletaev,Volleybox,13,340,2266.70,,,,381,,,370,,,,,,,,Russia,237,Opposite,,,,1995-07-27,198,Left,,,,,,,37175,,58,,86,,,
Michał Ruciak,,,,2262.95,,,190,,8645,Libero,,,336,,,1983-08-22,,,,,,238,82,,,,,Polska,,,318,Volleybox,,,,,,,,,
Bogdan Jalowietzki,Gerdy Geleyn,9,,2256.10,,,,96,,,352,239,,,,,,,Germany,,Middle-blocker,,,,1967-12-13,202,,,,,,,,2468,,75,,97,,3386,
Nicolas Le Goff,Volleybox,8,316,2250.92,,,,414,,,346,,,,,,,95,France,240,Middle-blocker,,,,1992-02-15,203,,,,,,,,22447,,75,,97,,,
Grzegorz Łomacz,Volleybox,1,309,2249.20,,,,363,,,336,,,,,,,28,Poland,241,Setter,,,,1987-10-01,187,,,,,,,,14430,,93,,81,,,
Alessandro Paparoni,Volleybox,4,314,2248.30,,,,413,,,340,242,,,,,,,Italy,,Outside Hitter,,,,1981-08-17,191,,,,,,,,4790,,71,,75,,1385,
Sebastian Świderski,,,,2247.50,,,193,,8880,Przyjmujący,,,355,,,1977-06-26,,,,,,243,87,,,,,Polska,,1226,327,Volleybox,,,,,,,,,
Aleksey Ostapenko,Volleybox,4,340,2246.25,,,,347,,,355,,,,,,,,Russia,244,Middle-blocker,,,,1986-05-26,208,,,,,,,,7425,,70,,94,,,
Yaroslav Antonov,Volleybox,2,,2245.60,,,,384,,,,245,,,,,,,Russia,,Opposite,,,,1963-01-10,198,,,,,,,,5434,,104,,95,,194,
Sergey Makarov,Volleybox,0,329,2236.65,,,,411,,,337,,,,,,,,Russia,246,Setter,,,,1980-03-28,196,,,,,,,,6449,,85,,97,,,
Giacomo Giretto,soidensir3,1,,2231.65,,,,165,,,,,,,,,,,Italy,247,Middle-blocker,,,,1973-01-05,206,,,,,,,,4117,,62,,,,,
Sergey Baranov,Volleybox,2,330,2227.20,,,,337,,,354,248,,,,,,,Russia,,Opposite,,,,1981-08-10,208,,,,,,,,10805,,67,,96,,4131,
Daniel Pliński,Volleybox,5,330,2219.45,,,,358,,,350,249,,,,,,,Poland,,Middle-blocker,,,,1978-12-10,204,,,,,,,,12315,,87,,100,,1331,
Artiom Ermakov,Volleybox,2,313,2219.20,,,,305,,,323,,,,,,,,Russia,250,Libero,,,,1982-03-16,188,,,,,,,,5734,,67,,80,,,
Luca Vettori,Volleybox,5,338,2217.58,,,,439,,,360,,,,,,,141,Italy,251,Opposite,,,,1991-04-26,200,Right,,,,,,,26508,,59,,95,,,
Riad Ribeiro,Volleybox,1,335,2213.55,,,,518,,,350,,,,,,,186,Brazil,252,Middle-blocker,,,,1981-10-02,205,,,,,,,,11542,,81,,95,,,
Aleksander Śliwka,,,,2211.77,,,198,,37693,Przyjmujący,,,342,,,1995-05-24,,,,253,,,83,,,,,Polska,,,332,Volleybox,,,,,45,,Lewa,,
Simone Rosalba,soidensir3,3,316,2207.60,,,,115,,,345,,,,,,,,Italy,254,Opposite,,,,1976-01-31,197,,,,,,,,4813,,59,,,,,
Aleksandr Gutsalyuk,Volleybox,3,345,2204.25,,,,411,,,362,,,,,,,412,Russia,255,Middle-blocker,,,,1988-01-15,205,,,,,,,,11212,,66,,105,,,
Rudi Schumann,John Doe,2,,2195.25,,,,11,,,,,,,,,,,Germany,256,Middle-blocker,,,,1947-02-15,184,Right,,,,,,,1234,,46,,82,,,
Vasílis Kournétas,Volleybox,4,334,2193.39,,,,425,,,345,,,,,,,,Greece,257,Setter,,,,1976-08-02,191,,,,,,,,5791,,98,,84,,,
Alan Domingos,Volleybox,6,323,2192.06,,,,171,,,354,,,,,,,,Brazil,258,Libero,,,,1980-02-15,190,,,,,,,,11070,,69,,89,,,
Yung-Suk Shin,przemek16,19,325,2189.90,,,,357,,,335,,,,,,,30,South Korea,259,Middle-blocker,,,,1986-10-04,198,Right,,,,,,,9893,,73,,90,,,
Oleg Shatunov,Volleybox,3,,2187.85,,,,2,,,,,,,,,,,Russia,260,Middle-blocker,,,,1967-02-20,204,,,,,,,,3968,,56,,100,,,
Piotr Gacek,,5,305,2182.25,,,,256,,,320,261,,,,,,,Poland,,Libero,,,1 week ago,1978-09-16,185,,,,,,,,9982,,77,,80,,,
Plamen Konstantinov,Volleybox,6,330,2165.25,,,,686,,,347,262,,,,,,,Bulgaria,,Outside Hitter,,,,1973-06-14,202,,,,,,,,13430,,147,,93,,254,
Aaron Russell,soidensir3,9,340,2161.45,,,,389,,,365,,,,,,,100,USA,263,Outside Hitter,,,,1993-06-04,205,Right,,,,,,,40839,,53,,95,,,
Nemanja Petrić,Volleybox,4,320,2149.70,,,,433,,,350,,,,,,,392,Serbia,264,Outside Hitter,,,,1987-07-28,202,Right,,,,,,,21204,,79,,86,,,
Oliver Kieffer,przemek16,5,335,2144.30,,,,523,,,355,,,,,,,,France,265,Middle-blocker,,,,1979-08-27,200,,,,,,,,3497,,64,,85,,,
Slobodan Boškan,Volleybox,0,320,2141.80,,,,594,,,343,266,,,,,,,Serbia,,Outside Hitter,,,,1975-08-18,197,,,,,,,,8278,,130,,87,,1082,
Alexey Obmochaev,Volleybox,5,310,2139.35,,,,472,,,325,,,,,,,387,Russia,267,Libero,,,,1989-05-22,188,,,,,,,,12590,,63,,80,,,
Kévin Le Roux,Volleybox,4,345,2138.70,,,,476,,,365,,,,,,,,France,268,Middle-blocker,,,,1989-05-11,209,,,,,,,,33652,,82,,95,,,
Marko Klok,Volleybox,4,,2137.64,,,,249,,,,269,,,,,,,Netherlands,,Outside Hitter,,,,1968-03-14,193,,,,,,,,12371,,118,,86,,1107,
Elvis Contreras,Volleybox,13,330,2132.15,,,,128,,,363,,,,,,,448,Dominican Republic,270,Outside Hitter,,,,1979-07-20,188,,,,,,,,12015,,62,,94,,,
Igor Kobzar,Volleybox,1,315,2131.95,,,,428,,,337,,,,,,,,Russia,271,Setter,,,,1991-04-13,198,,,,,,,,18613,,71,,86,,,
Aleksandr Abrosimov,Volleybox,5,325,2131.80,,,,363,,,341,,,,,,,,Russia,272,Middle-blocker,,,,1983-08-25,207,,,,,,,,7002,,76,,98,,,
Igor Runov,marciovolley,0,,2129.40,,,,23,,,,,,,,,,,Russia,273,Middle-blocker,,,,1963-02-08,203,,,,,,,,1622,,49,,98,,,
Santiago Danani,marciovolley,16,300,2124.75,,,,227,,,318,,,,,,,188,Argentina,274,Libero,,,,1995-12-12,176,,,,,,,,17932,,44,,76,,,
Lukas Diviš,Volleybox,4,340,2123.10,,,,410,,,348,,,,,,,372,Slovakia,275,Outside Hitter,,,,1986-02-20,201,,,,,,,,18356,,83,,91,,,
Frantz Granvorka,Volleybox,3,327,2122.75,,,,484,,,364,276,,,,,,,France,,Opposite,,,,1976-03-10,195,,,,,,,,9819,,81,,90,,2836,
Michał Bąkiewicz,Volleybox,0,328,2121.65,,,,204,,,339,277,,,,,,,Poland,,Outside Hitter,,,,1981-03-22,197,,,,,,,,5531,,87,,89,,1870,
Karch Kiraly,Volleybox,9,,2113.00,,,,429,,,,278,,,,,,,USA,,Outside Hitter,,,,1960-11-03,188,,,,,,,,22923,,109,,93,,55,
Tae-Woong Choi,przemek16,10,302,2110.85,,,,326,,,315,279,,,,,,,South Korea,,Setter,,,,1976-04-09,185,,,,,,,,7230,,97,,80,,1261,
João José,Volleybox,7,345,2105.58,,,,161,,,352,280,,,,,,,Portugal,,Middle-blocker,,,,1978-06-07,195,,,,,,,,11205,,82,,87,,2781,
Pāvels Seļivanovs,Gerdy Geleyn,0,,2101.50,,,,95,,,,281,,,,,,,Latvia,,Outside Hitter,,,,1952-07-23,194,,,,,,,,1269,,54,,97,,3300,
Zbigniew Bartman,Volleybox,9,330,2100.20,,,,349,,,363,,,,,,,439,Poland,282,Opposite,,,,1987-05-04,198,,,,,,,,41837,,76,,91,,,
Gilberto Passani,John Doe,0,,2096.04,,,,23,,,,283,,,,,,,Italy,,Middle-blocker,,,,1961-04-23,195,,,,,,,,1176,,59,,,,,
Ihosvany Hernández,Volleybox,4,340,2093.34,,,,16,,,350,,,,,,,,Cuba,284,Middle-blocker,,,,1972-08-06,206,,,,,,,,8328,,53,,103,,,
Yuri Sapega,John Doe,0,,2091.20,,,,89,,,,285,,,,,,,Russia,,Middle-blocker,,,,1965-01-01,194,,,,,,,,1380,,68,,85,,854,
Alain Fabiani,Volleybox,2,,2086.20,,,,198,,,,,,,,,,,France,286,Setter,,,,1958-09-14,186,,,,,,,,6797,,52,,80,,,
Michał Łasko,,,,2085.32,,,202,,11606,Atakujący,,,348,,,1981-03-10,,,,287,,,98,,,,,"Włochy,Polska",,,337,Volleybox,,,,,,,Lewa,,
Lucas Lóh,Volleybox,1,320,2082.65,,,,365,,,336,,,,,,,201,Brazil,288,Outside Hitter,,,,1991-01-18,195,Right,,,,,,,17049,,71,,83,,,
Ahmed Salah,Volleybox,9,316,2081.90,,,,59,,,342,,,,,,,146,Egypt,289,Opposite,,,,1984-08-19,197,Left,,,,,,,13805,,84,,87,,,
Matteo Piano,Volleybox,8,325,2079.21,,,,407,,,352,,,,,,,282,Italy,290,Middle-blocker,,,,1990-10-23,208,,,,,,,,15961,,55,,102,,,
Salvador Hidalgo Oliva,,17,332,2068.10,,,,333,,,355,,,,,,,87,Cuba,291,Outside Hitter,,,3 months ago,1985-12-27,195,Right,,,,,,,34302,,60,,98,,,
José Luis Moltó,Volleybox,5,,2065.87,,,,182,,,352,292,,,,,,,Spain,,Middle-blocker,,,,1975-06-29,206,,,,,,,,5308,,83,,94,,2848,
Vladimir Dorokhov,John Doe,0,,2055.25,,,,6,,,,293,,,,,,,Russia,,Outside Hitter,,,,1954-02-18,194,,,,,,,,982,,49,,,,2525,
Richard Lambourne,Volleybox,4,312,2051.60,,,,63,,,324,,,,,,,,USA,294,Libero,,,,1975-05-06,190,,,,,,,,7181,,62,,90,,,
Jungo Morita,John Doe,18,,2050.75,,,,20,,,,295,,,,,,,Japan,,Middle-blocker,,,,1947-08-09,194,,,,,,,,1083,,56,,85,,2767,
Andrzej Stelmach,Volleybox,0,318,2047.05,,,,167,,,336,296,,,,,,,Poland,,Setter,,,,1972-08-15,200,,,,,,,,6875,,89,,97,,2717,
Pierre Pujol,Volleybox,2,315,2045.40,,,,674,,,335,,,,,,,353,France,297,Setter,,,,1984-07-13,186,,,,,,,,23076,,94,,90,,,
Björn Andrae,Volleybox,3,330,2042.75,,,,326,,,355,,,,,,,143,Germany,298,Outside Hitter,,,,1981-05-14,200,,,,,,,,15608,,98,,90,,,
Fred Winters,Volleybox,0,329,2042.60,,,,253,,,357,,,,,,,,Canada,299,Outside Hitter,,,,1982-09-25,195,,,,,,,,11300,,85,,98,,,
Richard Schuil,Volleybox,5,329,2041.85,,,,24,,,347,,,,,,,,Netherlands,300,Opposite,,,,1973-02-05,202,Right,,,,,,,11091,,103,,95,,,
Paul Duerden,Volleybox,6,320,2039.25,,,,295,,,358,,,,,,,,Canada,301,Opposite,,,,1974-10-22,195,,,,,,,,4988,,54,,100,,,
Alen Pajenk,Volleybox,4,342,2037.10,,,,398,,,357,,,,,,,87,Slovenia,302,Middle-blocker,,,,1986-04-23,203,,,,,,,,18676,,92,,92,,,
Nuri Şahin,Volleybox,5,325,2036.69,,,,236,,,330,303,,,,,,,Turkey,,Libero,,,,1980-01-01,197,,,,,,,,9426,,80,,91,,2426,
Yu Koshikawa,Volleybox,15,320,2035.60,,,,151,,,340,,,,,,,,Japan,304,Outside Hitter,,,,1984-06-30,189,,,,,,,,10901,,79,,87,,,
Mikko Esko,Volleybox,7,319,2033.60,,,,403,,,341,,,,,,,163,Finland,305,Setter,,,,1978-09-03,198,Right,,,,,,,11675,,110,,89,,,
Nicolas Maréchal,Volleybox,4,327,2033.15,,,,584,,,338,,,,,,,80,France,306,Outside Hitter,,,,1987-03-04,198,,,,,,,,20178,,76,,83,,,
Flávio Gualberto,mvs,12,345,2029.60,,,,281,,,356,,,,,,,91,Brazil,307,Middle-blocker,,,,1993-04-22,200,Right,,,,,,,23563,,61,,92,,,
Salvatore Rossini,Volleybox,4,301,2027.70,,,,492,,,312,,,,,,,80,Italy,308,Libero,,,,1986-07-13,185,,,,,,,,11767,,59,,82,,,
Kamil Semeniuk,makoretu,7,326,2027.70,,,,391,,,352,,,,,,,91,Poland,308,Outside Hitter,,,,1996-07-16,194,Right,,,,,,,43380,,49,,85,,,
Laurent Chambertin,Volleybox,0,322,2026.55,,,,471,,,337,309,,,,,,,France,,Setter,,,,1966-09-29,191,,,,,,,,4840,,80,,92,,3473,
Nicolás Bruno,Volleybox,7,320,2025.10,,,,275,,,340,,,,,,,78,Argentina,310,Outside Hitter,,,,1989-02-24,188,,,,,,,,23866,,76,,86,,,
Bob Ctvrtlik,Volleybox,7,,2023.80,,,,0,,,,,,,,,,,USA,311,Outside Hitter,,,,1963-07-08,193,,,,,,,,7087,,28,,89,,,
Roman Danilov,Volleybox,7,325,2015.55,,,,372,,,356,,,,,,,,Russia,312,Opposite,,,,1985-01-04,208,Right,,,,,,,14073,,65,,90,,,
Nikola Rosić,Volleybox,4,315,2014.95,,,,111,,,328,,,,,,,,Serbia,313,Libero,,,,1984-08-05,192,,,,,,,,8216,,73,,85,,,
Christian Pampel,Volleybox,4,320,2012.21,,,,209,,,340,314,,,,,,,Germany,,Opposite,,,,1979-09-06,202,Right,,,,,,,9050,,107,,100,,3408,
Egor Kliuka,soidensir3,7,350,2011.15,,,,343,,,370,,,,,,,,Russia,315,Outside Hitter,,,,1995-06-15,209,,,,,,,,27219,,51,,94,,,
Vladimir Shkurikhin,soidensir3,1,,2010.40,,,,0,,,,,,,,,,,Russia,316,Opposite,,,,1958-07-26,201,,,,,,,,2883,,43,,103,,,
Mitja Gasparini,Volleybox,8,332,2010.16,,,,415,,,347,,,,,,,478,Slovenia,317,Opposite,,,,1984-06-26,201,,,,,,,,20075,,78,,94,,,
Sam Deroo,Volleybox,5,340,2009.75,,,,485,,,360,,,,,,,,Belgium,318,Outside Hitter,,,,1992-04-29,203,,,,,,,,29165,,77,,101,,,
Sándor Kántor,bpeter0228,10,,2009.55,,,,168,,,,319,,,,,,,Hungary,,Outside Hitter,,,,1971-02-01,196,,,,,,,,4966,,99,,,,1207,
Simone Anzani,Volleybox,3,330,2009.26,,,,429,,,350,,,,,,,143,Italy,320,Middle-blocker,,,,1992-02-24,203,Right,,,,,,,16321,,62,,100,,,
